KOs,Astragalus sinicus1,Astragalus sinicus2,Astragalus sinicus3,Astragalus sinicus4,Melilotus officinalis1,Melilotus officinalis2,Melilotus officinalis3,Melilotus officinalis4,Vicia villosa1,Vicia villosa2,Vicia villosa3,Vicia villosa4,Pisum sativum1,Pisum sativum2,Pisum sativum3,Pisum sativum4,Trifolium incarnatum1,Trifolium incarnatum2,Trifolium incarnatum3,Trifolium incarnatum4,Medicago sativa1,Medicago sativa2,Medicago sativa3,Medicago sativa4,Fagopyrum tataricum1,Fagopyrum tataricum2,Fagopyrum tataricum3,Fagopyrum tataricum4,Brassica juncea1,Brassica juncea2,Brassica juncea3,Brassica juncea4,Cichorium intybus1,Cichorium intybus2,Cichorium intybus3,Cichorium intybus4,Lolium multiflorum1,Lolium multiflorum2,Lolium multiflorum3,Lolium multiflorum4,Triticum turgidum1,Triticum turgidum2,Triticum turgidum3,Triticum turgidum4
K00001,569.075,638.621,693.68,764.442,890.846,852.145,857.686,803.453,831.919,849.479,841.744,835.107,884.45,952.468,777.676,1004.633,720.377,703.241,722.377,841.242,653.236,694.605,651.814,784.443,848.759,815.279,845.706,660.324,540.175,603.944,626.781,829.613,687.628,593.99,632.812,577.303,847.162,884.017,899.961,954.314,945.997,1070.38,965.474,955.061
K00002,31.501,35.06,37.908,22.155,32.502,33.112,29.236,47.119,13.642,38.827,44.162,31.951,58.046,33.472,27.446,30.61,55.161,72.667,60.502,36.706,56.827,31.451,41.819,29.999,12.296,30.165,15.256,54.136,26.796,81.841,59.79,25.336,45.153,59.902,44.628,61.29,33.155,30.973,14.367,27.73,31.886,27.688,15.244,27.562
K00003,431.136,489.757,463.843,409.287,384.707,397.047,419.891,397.125,375.87,366.139,396.139,348.597,430.788,405.595,404.19,405.985,431.454,335.717,412.719,398.499,363.987,453.076,457.804,456.464,387.116,365.625,355.668,378.303,358.846,371.351,375.926,409.316,415.948,408.167,415.825,377.719,401.91,370.704,356.495,388.659,350.351,360.073,331.818,340.072
K00004,79.868,117.05,91.001,111.41,98.354,65.881,72.244,72.512,82.288,59.606,100.38,81.212,50.027,63.615,107.858,75.106,113.296,81.994,92.265,117.01,68.782,134.531,128.481,152.651,34.574,40.31,32.045,36.334,25.796,43.092,47.393,40.542,77.291,58.741,62.54,52.377,73.439,43.397,41.979,53.47,51.746,49.681,35.638,38.2
K00005,35.936,14.744,19.588,41.52,28.124,36.867,21.556,27.695,39.945,42.746,21.744,35.948,11.02,13.234,11.022,8.645,20.092,84.271,23.661,9.764,27.722,17.757,29.084,7.525,3.53,14.297,3.224,23.62,49.103,52.46,41.204,12.893,22.145,24.119,34.282,59.845,12.151,12.098,4.314,9.483,14.412,10.601,4.423,11.678
K00006,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.365,0,0,0,0,0,0,0
K00007,8.397,9.096,15.409,16.416,20.457,31.957,17.783,24.548,11.432,15.875,18.558,23.428,25.65,17.281,11.209,23.865,8.469,8.368,7.008,13.241,7.052,12.097,11.176,49.346,21.904,12.319,8.643,13.059,3.683,3.246,6.359,13.015,7.262,5.478,6.755,4.742,7.776,3.481,7.081,4.023,6.018,6.291,6.89,6.645
K00008,111.136,107.121,50.128,82.198,51.911,68.365,56.161,56.647,89.924,69.337,80.965,82.293,62.775,91.043,138.677,90.215,58.738,44.86,41.181,77.69,25.808,31.962,34.757,103.204,209.106,161.613,202.935,106.299,48.026,41.447,66.638,142.264,88.063,69.801,98.385,82.89,128.139,216.962,183.171,207.317,187.383,189.358,189.836,181.953
K00009,24.588,2.394,9.19,32.079,15.06,28.805,18.448,22.961,17.527,13.714,8.557,21.708,5.212,6.408,6.934,1.598,3.252,49.4,1.154,1.368,7.677,2.69,14.737,6.539,6.036,11.388,8.02,6.167,24.85,6.19,2.24,5.106,10.323,6.519,12.504,19.298,10.069,5.851,3.156,7.704,8.648,7.91,6.957,4.089
K00010,514.09,497.024,484.564,555.628,459.12,443.766,424.823,428.167,479.858,442.369,526.195,456.449,568.723,684.382,584.849,697.49,486.025,412.689,436.496,525.725,397.271,467.648,442.603,482.918,578.976,629.596,581.374,404.923,256.909,365.731,409.106,614.424,488.518,456.1,494.789,497.813,445.018,633.425,693.022,653.928,655.941,741.16,676.376,699.507
K00011,163.335,144.892,136.917,140.664,120.966,117.493,124.411,123.632,95.514,108.784,123.367,93.184,99.149,81.983,119.385,86.455,151.42,147.735,143.713,128.448,149.69,150.085,155.704,105.588,67.465,89.07,54.073,132.596,145.507,175.981,150.897,99.914,138.121,154.132,134.333,150.565,123.49,77.93,51.261,84.274,89.785,69.636,51.128,74.748
K00012,364.466,400.915,381.055,390.761,405.473,341.579,405.906,345.184,354.608,403.652,390.029,364.338,368.247,449.295,429.772,429.868,465.698,397.866,438.374,464.026,357.836,423.563,378.871,375.27,439.316,437.461,466.254,367.215,456.72,430.306,442.151,427.749,409.143,379.238,383.383,393.703,341.822,459.105,507.065,458.205,468.88,489.316,508.312,456.217
K00013,291.005,288.619,309.921,308.747,327.387,325.64,324.787,314.739,333.027,319.732,313.448,328.049,343.909,332.633,322.547,333.787,306.301,299.141,305.208,317.618,306.877,308.964,309.675,313.395,283.972,265.587,290.949,296.392,316.412,294.564,310.779,334.714,298.096,302.703,302.18,300.779,301.248,286.659,296.391,302.45,301.2,294.468,286.514,295.029
K00014,674.799,696.789,617.325,659.807,601.205,578.218,609.221,590.912,648.835,577.047,587.087,565.758,519.746,478.322,567.952,465.411,633.508,614.15,671.281,564.826,677.791,692.818,715.41,587.128,409.114,408.961,369.892,582.786,713.929,697.783,658.247,543.366,650.161,705.134,674.408,667.632,628.042,438.234,393.528,456.06,473.947,421.114,348.249,448.362
K00015,43.285,36.729,65.17,73.639,93.714,158.344,99.608,128.677,69.366,75.168,68.286,81.1,105.182,111.059,80.583,156.039,78.593,63.523,56.379,113.189,41.362,37.54,41.508,140.416,166.543,158.598,169.387,78.319,24.561,35.697,46.765,130.676,72.526,62.119,83.536,69.334,91.847,180.11,191.299,175.609,153.281,173.058,162.29,167.67
K00016,13.601,19.739,31.707,23.722,38.058,49.217,40.177,39.542,59.597,34.424,39.371,40.609,38.081,46.053,33.696,54.17,28.023,25.599,26.036,37.575,18.991,24.969,26.331,80.933,93.109,54.159,80.886,41.116,37.826,31.027,31.553,77.028,39.924,28.434,31.99,33.05,68.516,90.071,61.33,77.54,73.4,81.062,70.81,77.472
K00018,201.726,200.203,160.73,166.104,130.595,123.735,154.809,142.868,185.257,161.011,154.934,146.495,111.759,96.199,140.36,78.295,171.778,133.818,173.501,131.918,195.527,195.654,190.263,93.172,73.438,103.265,76.444,189.536,235.787,209.785,183.441,145.736,185.716,209.188,212.323,202.934,136.032,104.151,69.375,109.262,106.673,100.667,66.807,110.792
K00019,242.524,263.889,288.298,257.795,282.971,340.405,292.567,324.185,249.012,256.838,286.528,265.506,335.577,339.555,278.954,411.905,286.086,223.824,260.236,332.572,245.073,258.773,248.216,422.296,389.343,338.247,375.878,277.383,251.956,260.706,266.092,301.745,261.35,274.662,255.966,251.769,328.047,332.745,366.182,309.455,300.122,324.284,357.142,327.065
K00020,487.779,533.393,537.372,501.036,536.493,588.214,582.491,602.945,431.655,435.427,484.517,454.314,568.729,494.037,496.079,613.525,630.796,531.277,595.134,608.205,545.848,496.777,571.11,774.027,523.409,542.972,499.757,519.947,501.916,604.095,543.682,543.219,595.949,599.691,604.217,592.413,436.552,570.783,461.557,536.686,532.595,507.77,427.423,550.551
